period,gdp,inflation,unemployment_rate,average_wage,policy_rate,government_deficit,government_debt,total_lending,firm_bankruptcies,total_employment,average_house_price,housing_transactions,housing_listings,homeownership_rate,house_price_inflation,total_mortgage_lending,foreclosures,quarter,actual_house_price,actual_transactions
1,93595764.52062951,0.0,0.0124,9122.9208767861,0.005,-19974017.19444016,19974017.19444016,0.0,0,4938,173752.03137566737,33,13,0.64,-0.3903437495590618,4248430.560358338,0,2013Q1,167000.0,220000
2,41217954.76008079,0.10444080531051586,0.02,9128.601182028759,0.005,-5391473.875001783,25365491.069441944,0.0,0,4900,136471.12772077735,33,38,0.64,-0.21456384342514756,3373778.6371079073,0,2013Q2,170000.0,240000
3,43222692.55104622,0.08594406152481612,0.0244,9122.563424663542,0.005,-7440749.872048585,32806240.94149053,1034158.838248859,1,4878,134940.81699253805,32,51,0.64,-0.011213439456368768,3241684.9144427134,0,2013Q3,174000.0,255000
4,39012252.31812091,0.12996656206032162,0.0274,9120.452641840458,0.005,-5554024.400416613,38360265.34190714,1191062.7580315794,2,4863,153144.99749602462,30,73,0.64,0.1349049228336392,3593252.950992056,0,2013Q4,178000.0,265000
5,37339224.7154899,0.0238198082076038,0.0316,9116.85181261207,0.005,-5098525.081117136,43458790.42302428,826934.8288883627,4,4842,140127.36393204788,29,91,0.64,-0.08500201623833414,3056326.452376885,0,2014Q1,183000.0,275000
6,36518156.85683034,0.06970352394786107,0.0322,9119.745230410157,0.005,-4760299.993352434,48219090.41637672,1462008.9420802107,7,4839,160011.0139648669,30,111,0.64,0.14189698196607203,3640627.9724842226,0,2014Q2,189000.0,290000
7,35293850.57913401,-0.010167777478239005,0.033,9113.174637136197,0.005,-4212510.4200180285,52431600.83639474,2240564.8097824864,19,4835,164806.79440729474,30,124,0.64,0.029971564604176715,3700191.6227537678,0,2014Q3,192000.0,290000
8,33503066.542564884,-0.013970228033233048,0.0368,9114.574169993599,0.005,-3556158.8115373403,55987759.64793208,2195103.5137676117,38,4816,147142.86991187197,31,115,0.64,-0.10717958903908475,3382681.5571232643,0,2014Q4,193000.0,280000
9,31438542.7610332,-0.01754310137542717,0.0336,9104.707259145616,0.005,-2671535.9770963322,58659295.62502842,1794184.7592990634,60,4832,140609.45343858964,32,122,0.64,-0.04440185567398114,3336224.2564931153,0,2015Q1,196000.0,280000
10,30198742.56219209,-0.024171011092396267,0.0334,9108.842330668263,0.005,-2193685.8527829386,60852981.47781135,1284290.8179304013,74,4833,160308.2070833239,31,126,0.64,0.1400955139430764,3784330.0141405268,0,2015Q2,201000.0,290000
11,29133662.59521099,-0.018344201852409894,0.0322,9109.480898247739,0.005,-1740652.4645759147,62593633.94238727,1167010.3337759718,95,4839,138815.91874754944,33,140,0.64,-0.13406854662533496,3408778.2127868994,0,2015Q3,205000.0,295000
12,28343387.328814495,-0.012705706174811026,0.0358,9099.382199830592,0.005,-1501151.1748683825,64094785.11725565,994260.6536860319,109,4821,157766.1045982665,29,140,0.64,0.13651306004162156,3489758.9372557835,0,2015Q4,207000.0,300000
13,27703011.292450365,-0.005026981146985945,0.0318,9101.169270731903,0.005,-1183726.921099443,65278512.0383551,809869.5306574882,127,4841,150383.14910477056,33,135,0.64,-0.04679684214993962,3671502.739774686,0,2016Q1,211000.0,345000
14,27415726.517332613,-0.010838205623533064,0.0312,9101.723365624419,0.005,-1014034.9286430012,66292546.9669981,876429.8051043176,133,4844,131457.78806335165,31,136,0.64,-0.12584761759599672,3024387.301569337,0,2016Q2,216000.0,255000
15,27065756.909549493,-0.004824774198984712,0.0348,9103.326701708018,0.0025,-957489.6951751634,67250036.66217327,574593.9990413171,149,4826,156567.10777369596,32,136,0.64,0.19100671082525533,3785226.482141926,0,2016Q3,218000.0,280000
16,26616424.127260126,-0.010971400047010792,0.0346,9103.081988897298,0.0025,-744814.8548780046,67994851.51705128,362581.60611004435,165,4827,141829.23435767816,33,126,0.64,-0.09413135124984295,3465128.2958001904,0,2016Q4,220000.0,280000
17,26383497.795455962,0.0021457082322984197,0.0312,9102.69997119409,0.0025,-561367.8043242302,68556219.3213755,349783.67780612234,181,4844,144198.3311813569,33,106,0.64,0.016703868101721087,3423398.843148354,0,2017Q1,222000.0,275000
18,26199058.874649797,-0.0016931500310333712,0.031,9098.24847554786,0.0025,-479330.6242230702,69035549.94559857,365310.10022063414,194,4845,161600.5785613714,32,116,0.64,0.12068272383907042,3826697.498391682,0,2017Q2,226000.0,285000
19,26031783.926451597,-0.009030584969939217,0.0338,9101.681533044015,0.0025,-419350.53594201617,69454900.48154059,385286.1451747815,207,4831,145095.3190920106,32,103,0.64,-0.10213614094885526,3476894.8369190576,0,2017Q3,227000.0,285000
20,25653994.38040947,-0.0022128229852611562,0.0308,9110.223629868937,0.005,-176499.647815058,69631400.12935565,255888.4236111411,220,4846,141005.67642602534,33,97,0.64,-0.028185903525887457,3415775.585954124,0,2017Q4,228000.0,290000
21,25573321.54603997,0.0013517027974244361,0.032,9103.60536293396,0.005,-144322.89481432736,69775723.02416998,248271.29242879996,230,4840,183402.58005571965,31,115,0.64,0.3006751551022604,4223373.754823617,0,2018Q1,228000.0,285000
22,25327326.98465251,-0.0015420651748538987,0.0376,9101.414390084157,0.005,-170450.06823991425,69946173.0924099,174447.39860056134,236,4812,132186.5737285942,31,123,0.64,-0.27925455744169725,2929555.6112624262,0,2018Q2,231000.0,290000
23,25165544.999043807,-0.005419548294734288,0.037,9101.871784059007,0.0075,-35221.200988667086,69981394.29339856,133775.88325795697,238,4815,150087.7229906022,32,109,0.64,0.13542335471046152,3432161.400617569,0,2018Q3,232000.0,285000
24,24889045.241725676,-0.0020388453162318914,0.0356,9099.4151208948,0.0075,97688.36352473497,69883705.92987382,112488.89775151265,242,4822,158686.1138156492,32,107,0.64,0.057289101691451405,3781698.7436407413,0,2018Q4,231000.0,280000
25,24783022.37197187,0.0177676088601283,0.0302,9104.473328115477,0.0075,247701.5365870688,69636004.39328675,149259.98151516478,246,4849,147619.57175639572,33,110,0.64,-0.069738566237181,3520463.0957516967,0,2019Q1,230000.0,270000
26,24836607.55668612,-0.012652363253248223,0.034,9105.332319995723,0.0075,225285.44887145795,69410718.94441529,38791.13396596911,252,4830,171475.9263331526,30,111,0.64,0.16160698945885743,3744927.1088369065,0,2019Q2,233000.0,280000
27,24458936.93395998,-0.0011950994004534012,0.0308,9104.701984384265,0.0075,460202.5371645875,68950516.4072507,48842.890530951074,255,4846,164725.2690170222,30,112,0.64,-0.03936795945930549,3583685.744498579,0,2019Q3,234000.0,275000
28,24133881.447191924,-0.009291519687643138,0.033,9102.91964449859,0.0075,540443.4190985113,68410072.98815219,48092.549353348964,261,4835,157659.8265372064,31,118,0.64,-0.0428922807167228,3472094.79844569,0,2019Q4,234000.0,275000
29,23776107.973268036,-0.013830576222652187,0.0312,9103.298872224037,0.001,744089.529342737,67665983.45880945,25922.779697814414,264,4844,141609.46980990598,33,108,0.64,-0.1018037193102751,3410275.0528573934,0,2020Q1,233000.0,215000
30,23274185.208189566,0.0021832545818417618,0.0346,9104.552177301552,0.001,837754.8273021355,66828228.631507315,23995.087789188437,268,4827,154310.09139247864,31,104,0.64,0.08968765718579252,3412221.240377834,0,2020Q2,231000.0,125000
31,23335787.34651981,-0.00657040686185821,0.0332,9107.229479534122,0.001,907617.6719608288,65920610.959546484,17871.04919650752,271,4834,164282.8794062524,32,94,0.64,0.06462822958485948,3856257.7490125047,0,2020Q3,240000.0,305000
32,22950524.826655284,-0.010931081877113181,0.0342,9109.767350397104,0.001,1063746.4975924604,64856864.46195403,16950.493078166226,275,4829,175276.15922449116,31,92,0.64,0.06691677098654725,4020334.1872081393,0,2020Q4,250000.0,340000
33,22369311.30629476,-0.0037021536016830837,0.0322,9114.055718034011,0.001,1319441.902863253,63537422.55909078,19233.940290666258,278,4839,143961.0910675986,33,90,0.64,-0.17866130964670823,3353993.4558027466,0,2021Q1,256000.0,310000
34,21987825.012887847,-0.0024590023556837356,0.0296,9116.31901157935,0.001,1538656.4703950211,61998766.08869576,61849.736253228904,282,4852,193828.01247924482,29,103,0.64,0.34639166070386773,4193020.3361072796,0,2021Q2,264000.0,355000
35,21764684.35538917,-0.008726861268243218,0.0322,9116.75463867015,0.001,1582362.1921517868,60416403.89654397,164351.1066499942,284,4839,153955.84079207983,32,117,0.64,-0.20570902614726294,3545861.473486431,0,2021Q3,271000.0,325000
36,21452389.193617187,-0.015206662603570141,0.0322,9123.653541469996,0.0025,1732080.126055913,58684323.77048806,65976.01319531171,285,4839,146000.63186097878,33,116,0.64,-0.0516720177043799,3494865.918816572,0,2021Q4,276000.0,315000
37,21019400.774840243,-0.014119612109808867,0.031,9118.639172785983,0.0075,1937835.3227078859,56746488.44778018,33794.98725033352,286,4845,141626.89470089247,33,116,0.64,-0.029956974187967722,3348565.1603850313,0,2022Q1,282000.0,300000
38,20588493.95248208,-0.002781194423137513,0.0326,9125.839092368096,0.0125,2051449.0419291686,54695039.40585101,40756.78236926819,289,4837,146249.5739497505,32,113,0.64,0.03263984046688906,3388188.989217051,0,2022Q2,289000.0,305000
39,20315224.694805358,-0.008955889267562052,0.0344,9123.221224441302,0.0225,2127006.0136355218,52568033.39221548,12268.681166405586,292,4828,146249.5739497505,0,143,0.64,0.0,0.0,0,2022Q3,292000.0,285000
40,20075811.078212507,-0.0045627689588060944,0.0336,9121.024554478518,0.035,2238643.0296098962,50329390.36260559,15729.571065993237,292,4832,146249.5739497505,0,174,0.64,0.0,0.0,0,2022Q4,289000.0,255000
41,19718207.22094096,-0.007045465964488648,0.0328,9117.627638339498,0.0425,2399736.1774751693,47929654.18513042,7438.287090801612,295,4836,146249.5739497505,0,200,0.64,0.0,0.0,0,2023Q1,285000.0,220000
42,19281158.22554203,-0.004096724185330869,0.03,9116.565177759656,0.05,2616568.3181768646,45313085.86695355,37206.37751328179,297,4850,146249.5739497505,0,236,0.64,0.0,0.0,0,2023Q2,286000.0,235000
43,19009332.15541248,-0.01033135960090372,0.0298,9112.025995459137,0.0525,2742281.4684533905,42570804.39850016,45826.49304964824,299,4851,146249.5739497505,0,272,0.64,0.0,0.0,0,2023Q3,288000.0,240000
44,18629753.879907057,-0.004369891024567057,0.0336,9113.505998142035,0.0525,2781492.909655274,39789311.48884489,0.0,300,4832,146249.5739497505,0,309,0.64,0.0,0.0,0,2023Q4,285000.0,235000
45,18387934.116011325,-0.010065222887562189,0.0338,9113.062533727101,0.0525,2865491.3480441216,36923820.14080077,0.0,302,4831,146249.5739497505,0,308,0.64,0.0,0.0,0,2024Q1,283000.0,230000
46,18068049.753271073,-0.007656025360693021,0.0312,9107.158466123024,0.0525,3044676.0536083058,33879144.08719246,0.0,306,4844,146249.5739497505,0,298,0.64,0.0,0.0,0,2024Q2,285000.0,245000
47,17682805.74486566,0.0005499157821860131,0.0318,9108.490534789506,0.05,3159064.147234191,30720079.93995827,0.0,306,4841,146249.5739497505,0,305,0.64,0.0,0.0,0,2024Q3,289000.0,255000
48,17466668.550561342,-0.0017779151387260915,0.0372,9108.755324435928,0.0475,3101415.374193331,27618664.56576494,0.0,307,4814,146249.5739497505,0,312,0.64,0.0,0.0,0,2024Q4,290000.0,260000
